iso3c,date,cinema,flights,office_occupancy,public_transport,retail_footfall,time_outside,traffic,overall
ARE,2020-03-11,44.8031,90.7437,101.9599,93.1295,98.7857,97.9286,56.8921,83.5779
ARG,2020-03-11,37.7918,105.2441,106.2143,111.5,100.5,100.3571,70.1707,89.9724
AUS,2020-03-11,50.3188,84.9039,,,100.9286,100.5,117.1988,89.3498
AUT,2020-03-11,33.6002,101.6556,101.0427,99.6751,100.9286,99.9286,102.8108,90.9842
BEL,2020-03-11,79.4744,98.4717,97.4899,98.4235,98.7143,98.6429,112.1004,96.5194
BRA,2020-03-11,45.5052,105.4038,109.6103,106.1946,99.1429,100.0,91.5566,85.4029
CAN,2020-03-11,,106.5967,98.0385,97.0958,103.5,99.2143,91.1207,97.405
CHE,2020-03-11,37.8824,99.5421,95.3642,93.5848,95.7143,97.7143,100.8968,85.9369
CHL,2020-03-11,21.4235,103.3836,107.4286,107.8571,102.6429,99.2143,82.6321,87.1961
CHN,2020-03-11,0.0,,,23.7399,,,80.9341,48.1687
COL,2020-03-11,30.9834,104.1916,114.2143,111.0714,100.0714,101.3571,89.5427,92.0333
CZE,2020-03-11,131.9259,94.5953,100.6079,100.0186,101.9286,99.5,105.1898,98.2597
DEU,2020-03-11,75.5752,98.4578,96.9767,95.3805,100.4286,98.7857,105.8119,93.198
DNK,2020-03-11,38.4938,102.2936,100.9286,98.3571,109.3571,99.7857,124.1394,93.6649
EGY,2020-03-11,,93.4284,109.6429,106.1429,103.7857,101.1429,59.5977,89.4645
ESP,2020-03-11,74.036,95.5332,98.8507,100.0662,99.2143,100.5,92.5584,94.5159
FRA,2020-03-11,95.4567,99.1967,97.3687,94.6496,96.0714,97.9286,88.4813,93.7448
GBR,2020-03-11,67.386,100.788,100.0033,97.1867,101.7857,99.7143,103.3129,95.6746
HKG,2020-03-11,13.4509,35.2599,87.4286,73.7143,78.2857,87.5,48.9525,53.1472
HUN,2020-03-11,62.021,105.5269,102.6429,101.6429,105.2143,100.2857,110.0379,91.3139
IDN,2020-03-11,18.9735,76.3696,105.5714,104.4286,102.1429,99.4286,86.871,83.306
IND,2020-03-11,49.203,92.2117,96.4068,94.0236,98.0,98.7857,61.2629,82.8201
IRL,2020-03-11,,101.3631,100.2173,98.2713,101.1429,99.4286,102.2302,102.8698
ISR,2020-03-11,77.6482,77.9325,90.2575,100.0803,104.0,97.9286,71.9248,86.0519
ITA,2020-03-11,22.6121,82.1171,83.6346,69.8684,80.2143,92.5714,72.3979,74.1304
JPN,2020-03-11,42.6711,60.7971,95.7275,80.164,91.7857,95.9286,66.9542,68.8106
KOR,2020-03-11,11.0308,39.3417,91.0714,77.5714,71.0714,90.2857,,62.339
MEX,2020-03-11,54.4104,108.1068,104.2857,102.2857,100.7143,100.5714,81.1154,95.5846
MYS,2020-03-11,27.6951,74.0908,102.6429,97.1429,98.0,98.9286,79.9033,83.1459
NGA,2020-03-11,63.2782,103.3675,102.9286,104.2857,101.1429,99.7143,,96.6804
NLD,2020-03-11,106.3252,99.1807,97.8681,96.8026,98.8571,98.9286,108.5734,99.3855
NOR,2020-03-11,79.2898,102.7888,98.1996,96.0387,96.2143,99.1429,114.1793,86.5578
NZL,2020-03-11,51.2133,88.6074,114.5714,107.7857,100.1429,100.7143,122.0521,97.1573
PAK,2020-03-11,50.8934,93.3276,98.7857,97.2857,101.8571,99.7143,,91.743
PER,2020-03-11,68.1778,98.4087,,,101.0,99.9286,64.9748,87.8185
PHL,2020-03-11,11.1988,64.3132,101.5714,93.7857,98.7143,99.0714,54.0258,77.4893
POL,2020-03-11,92.6644,102.0678,101.8264,101.5253,105.3571,100.2143,102.7262,97.1525
PRT,2020-03-11,67.1035,100.5272,100.6578,100.7716,100.4286,99.8571,98.7121,95.7592
ROU,2020-03-11,140.7103,102.5533,104.2857,103.6429,102.4286,100.7857,102.3421,107.2572
RUS,2020-03-11,,91.4904,98.3224,105.4845,109.7857,100.2857,89.8068,90.1107
SAU,2020-03-11,,88.3544,102.0,91.9286,98.2143,97.8571,56.1277,81.3683
SGP,2020-03-11,14.1045,72.1629,98.8571,87.4286,89.8571,94.0,50.9308,71.6511
SWE,2020-03-11,40.733,102.1766,97.754,96.1987,101.2857,99.0714,105.2416,85.7487
THA,2020-03-11,14.4684,63.4772,97.7857,89.4286,97.2143,97.2857,69.7633,74.8664
TUR,2020-03-11,96.1452,82.0315,109.3571,105.6429,104.7143,101.6429,93.0271,98.9239
TWN,2020-03-11,16.8604,51.5416,104.5,86.0714,92.3571,97.7857,72.8219,72.1203
UKR,2020-03-11,84.8556,97.0937,,,109.4286,101.4286,106.0656,97.2285
USA,2020-03-11,64.2052,100.6151,100.8351,98.9847,108.5714,100.7143,81.7704,96.5097
VNM,2020-03-11,61.3893,56.946,104.5693,86.4071,90.9286,95.0,,84.7179
WRLD,2020-03-11,37.939,91.0307,87.9958,78.7477,89.8023,95.6718,80.8165,77.7428
ZAF,2020-03-11,46.8292,97.7538,105.8601,105.1511,104.0714,100.5,137.2342,96.0252
